Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	213002.526	213002.526	213002.526	213002.526	0	0	0	55064.7	0	0	3
2	2	0	0.0424822493	205733.798	209368.162	205733.798	213002.526	3634.36395	0	0	66043.5	0	0	3
3	2	0	0.063723374	205352.472	208029.599	205352.472	213002.526	4972.92725	0	0	69849.8	0	0	3
4	3	0	0.0849644986	204794.342	207220.784	204794.342	213002.526	5781.74148	0	0	58894.9	0	0	3
5	3	0	0.106205623	204993.641	206775.356	204794.342	213002.526	6227.17022	0	0	42118.8	0	0	3
6	4	0	0.127446748	204705.435	206430.369	204705.435	213002.526	6572.15699	0	0	30196.1	0	0	3
7	4	0	0.148687873	204668.856	206178.724	204668.856	213002.526	6823.80175	0	0	21260.1	0	0	3
8	5	0	0.169928997	204522.445	205971.689	204522.445	213002.526	7030.83669	0	0	18834.1	0	0	3
9	5	0	0.191170122	204492.599	205807.346	204492.599	213002.526	7195.18001	0	0	18130.6	0	0	3
10	5	0	0.212411247	204404.365	205667.048	204404.365	213002.526	7335.47807	0	0	17330.1	0	0	3
11	6	0	0.233652371	204333.407	205545.808	204333.407	213002.526	7456.71814	0	0	16909.6	0	0	3
12	6	0	0.254893496	204260.399	205438.69	204260.399	213002.526	7563.83551	0	0	16587	0	0	3
13	7	0	0.276134621	204200.156	205343.418	204200.156	213002.526	7659.10741	0	0	17617.8	0	0	3
14	7	0	0.297375745	204141.933	205257.598	204141.933	213002.526	7744.92783	0	0	18294.6	0	0	3
15	7	0	0.31861687	204090.88	205179.817	204090.88	213002.526	7822.70903	0	0	19692.1	0	0	3
16	8	0	0.339857994	203993.968	205105.701	203993.968	213002.526	7896.82459	0	0	19042.2	0	0	3
17	8	0	0.361099119	203901.822	205034.885	203901.822	213002.526	7967.64101	0	0	19115.9	0	0	3
18	9	0	0.382340244	203815.793	204967.158	203815.793	213002.526	8035.36833	0	0	18836.9	0	0	3
19	9	0	0.403581368	203729.566	204902.021	203729.566	213002.526	8100.50471	0	0	18494.8	0	0	3
20	10	0	0.424822493	203653.795	204839.61	203653.795	213002.526	8162.91602	0	0	18088.4	0	0	3
21	10	0	0.446063618	203576.578	204779.465	203576.578	213002.526	8223.06037	0	0	17787.6	0	0	3
22	11	0	0.467304742	203515.309	204722.004	203515.309	213002.526	8280.52203	0	0	17509.6	0	0	3
23	11	0	0.488545867	203476.908	204667.869	203476.908	213002.526	8334.65664	0	0	17269.3	0	0	3
24	11	0	0.509786992	203455.261	204617.344	203455.261	213002.526	8385.18198	0	0	17075.2	0	0	3
25	12	0	0.531028116	203448.389	204219.255	203448.389	205733.798	2285.4091	0	0	16913.9	0	0	3
26	12	0	0.552269241	203447.116	204123.976	203447.116	205352.472	1905.3558	0	0	16820.5	0	0	3
27	13	0	0.573510366	203458.037	204045.042	203447.116	204993.641	1546.52446	0	0	16719.3	0	0	3
28	13	0	0.59475149	203475.423	203990.087	203447.116	204993.641	1546.52446	0	0	16641.8	0	0	3
29	14	0	0.615992615	203498.006	203927.769	203447.116	204705.435	1258.31883	0	0	16556.8	0	0	3
30	14	0	0.63723374	203520.146	203878.382	203447.116	204668.856	1221.73932	0	0	16497.3	0	0	3
31	15	0	0.658474864	203541.26	203831.398	203447.116	204522.445	1075.32838	0	0	16426.4	0	0	3
32	15	0	0.679715989	203563.484	203791.442	203447.116	204492.599	1045.48308	0	0	16364.8	0	0	3
33	16	0	0.700957114	203584.146	203753.589	203447.116	204404.365	957.249017	0	0	16291.1	0	0	3
34	16	0	0.722198238	203599.453	203720.051	203447.116	204333.407	886.290842	0	0	16233.1	0	0	3
35	16	0	0.743439363	203612.743	203690.024	203447.116	204260.399	813.283057	0	0	16162.7	0	0	3
36	17	0	0.764680488	203621.162	203663.389	203447.116	204200.156	753.039475	0	0	16110.7	0	0	3
37	17	0	0.785921612	203629.996	203639.632	203447.116	204141.933	694.816346	0	0	16048	0	0	3
38	18	0	0.807162737	203635.943	203618.549	203447.116	204090.88	643.763786	0	0	15998	0	0	3
39	18	0	0.828403862	203641.711	203599.834	203447.116	203993.968	546.851636	0	0	15936.1	0	0	3
40	19	0	0.849644986	203644.95	203585.292	203447.116	203901.822	454.706029	0	0	15888.2	0	0	3
41	19	0	0.870886111	203648.535	203574.738	203447.116	203815.793	368.676887	0	0	15840.4	0	0	3
42	20	0	0.892127235	203653.143	203567.961	203447.116	203729.566	282.450019	0	0	15801.3	0	0	3
43	20	0	0.91336836	203658.575	203565.003	203447.116	203658.575	211.458326	0	0	15757.7	0	0	3
44	20	0	0.934609485	203663.694	203565.415	203447.116	203663.694	216.57731	0	0	15722.7	0	0	3
45	21	0	0.955850609	203668.941	203569.264	203447.116	203668.941	221.82491	0	0	15688.9	0	0	3
46	21	0	0.977091734	203674.284	203575.888	203447.116	203674.284	227.167327	0	0	15664.8	0	0	3
47	22	0	0.998332859	203680.127	203584.355	203447.116	203680.127	233.01108	0	0	15639.2	0	0	3
48	22	0	1.01957398	203684.79	203593.919	203447.116	203684.79	237.674023	101.90605	42.8	15620.5	0	0	3
