Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	293.199981	293.199981	293.199981	293.199981	0	0	0	0.000669811	0	0	3
2	2	0	0.0424822493	293.199977	293.199979	293.199977	293.199981	1.92643978e-006	0	0	0.00109594	0	0	3
3	2	0	0.063723374	293.199974	293.199977	293.199974	293.199981	3.7863278e-006	0	0	0.00139037	0	0	3
4	3	0	0.0849644986	293.199971	293.199976	293.199971	293.199981	5.42686507e-006	0	0	0.00159437	0	0	3
5	3	0	0.106205623	293.199967	293.199974	293.199967	293.199981	7.10180279e-006	0	0	0.00173226	0	0	3
6	4	0	0.127446748	293.199963	293.199972	293.199963	293.199981	9.00448651e-006	0	0	0.00185422	0	0	3
7	4	0	0.148687873	293.199958	293.19997	293.199958	293.199981	1.10847942e-005	0	0	0.00190957	0	0	3
8	5	0	0.169928997	293.199953	293.199968	293.199953	293.199981	1.32341107e-005	0	0	0.00202775	0	0	3
9	5	0	0.191170122	293.199948	293.199966	293.199948	293.199981	1.54356099e-005	0	0	0.00224116	0	0	3
10	5	0	0.212411247	293.199944	293.199964	293.199944	293.199981	1.76607027e-005	0	0	0.00243465	0	0	3
11	6	0	0.233652371	293.199937	293.199961	293.199937	293.199981	2.01014648e-005	0	0	0.00262397	0	0	3
12	6	0	0.254893496	293.199942	293.19996	293.199937	293.199981	2.16965578e-005	0	0	0.00240594	0	0	3
13	7	0	0.276134621	293.199946	293.199958	293.199937	293.199981	2.27522411e-005	0	0	0.00241969	0	0	3
14	7	0	0.297375745	293.19995	293.199958	293.199937	293.199981	2.33692301e-005	0	0	0.00256179	0	0	3
15	7	0	0.31861687	293.199954	293.199958	293.199937	293.199981	2.36152135e-005	0	0	0.00299165	0	0	3
16	8	0	0.339857994	293.199968	293.199958	293.199937	293.199981	2.36152135e-005	0	0	0.00306295	0	0	3
17	8	0	0.361099119	293.199983	293.19996	293.199937	293.199983	2.36152135e-005	0	0	0.00326141	0	0	3
18	9	0	0.382340244	293.2	293.199962	293.199937	293.2	2.36152135e-005	0	0	0.00334461	0	0	3
19	9	0	0.403581368	293.200018	293.199965	293.199937	293.200018	2.36152135e-005	0	0	0.00335092	0	0	3
20	10	0	0.424822493	293.200035	293.199968	293.199937	293.200035	2.36152135e-005	0	0	0.0033249	0	0	3
21	10	0	0.446063618	293.200056	293.199973	293.199937	293.200056	2.36152135e-005	0	0	0.00334866	0	0	3
22	11	0	0.467304742	293.200074	293.199977	293.199937	293.200074	2.36152135e-005	0	0	0.00334744	0	0	3
23	11	0	0.488545867	293.200087	293.199982	293.199937	293.200087	2.43734845e-005	0	0	0.00332729	0	0	3
24	11	0	0.509786992	293.200097	293.199987	293.199937	293.200097	2.91740178e-005	0	0	0.00330318	0	0	3
25	12	0	0.531028116	293.200104	293.199992	293.199937	293.200104	3.42807243e-005	0	0	0.0032788	0	0	3
26	12	0	0.552269241	293.200109	293.199997	293.199937	293.200109	3.97645478e-005	0	0	0.00328202	0	0	3
27	13	0	0.573510366	293.200109	293.200003	293.199937	293.200109	4.54183062e-005	0	0	0.00326421	0	0	3
28	13	0	0.59475149	293.200106	293.200009	293.199937	293.200109	5.10671862e-005	0	0	0.00323607	0	0	3
29	14	0	0.615992615	293.200102	293.200014	293.199937	293.200109	5.66540294e-005	0	0	0.00319934	0	0	3
30	14	0	0.63723374	293.200096	293.20002	293.199937	293.200109	6.22162794e-005	0	0	0.00316296	0	0	3
31	15	0	0.658474864	293.200091	293.200025	293.199937	293.200109	6.77556901e-005	0	0	0.00312464	0	0	3
32	15	0	0.679715989	293.200086	293.200031	293.199937	293.200109	7.33161529e-005	0	0	0.00308639	0	0	3
33	16	0	0.700957114	293.200084	293.200037	293.199937	293.200109	7.89862846e-005	0	0	0.00304297	0	0	3
34	16	0	0.722198238	293.200084	293.200042	293.199937	293.200109	8.48458702e-005	0	0	0.00300536	0	0	3
