Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	2.95852798e-005	2.95852798e-005	2.95852798e-005	2.95852798e-005	0	0	0	0	0	0	3
2	1	0	0.05	0.000241675827	0.000135630553	2.95852798e-005	0.000241675827	0.000106045273	0	0	0	0	0	3
3	1	0	0.075	1.32069505e-005	9.48226856e-005	1.32069505e-005	0.000241675827	0.000106045273	0	0	0	0	0	3
4	2	0	0.1	-1.59893178e-005	6.71196848e-005	-1.59893178e-005	0.000241675827	0.000106045273	0	0	0	0	0	3
5	2	0	0.125	-1.7102268e-006	5.33537024e-005	-1.59893178e-005	0.000241675827	0.000106045273	0	0	0	0	0	3
6	2	0	0.15	-2.77604896e-005	3.98346704e-005	-2.77604896e-005	0.000241675827	0.000106045273	0	0	0	0	0	3
7	2	0	0.175	2.35957313e-005	3.7514822e-005	-2.77604896e-005	0.000241675827	0.000106045273	0	0	0	0	0	3
8	2	0	0.2	-3.98863147e-005	2.78396799e-005	-3.98863147e-005	0.000241675827	0.000107790873	0	0	0	0	0	3
9	3	0	0.225	3.84757884e-006	2.51738909e-005	-3.98863147e-005	0.000241675827	0.000110456662	0	0	0	0	0	3
10	3	0	0.25	-3.15931637e-005	1.94971854e-005	-3.98863147e-005	0.000241675827	0.000116133368	0	0	0	0	0	3
11	3	0	0.275	-2.8094446e-005	1.51706735e-005	-3.98863147e-005	0.000241675827	0.00012045988	0	0	0	0	0	3
12	3	0	0.3	-5.52217581e-005	9.30463752e-006	-5.52217581e-005	0.000241675827	0.000126325916	0	0	0	0	0	3
13	3	0	0.325	4.16562344e-005	1.17932219e-005	-5.52217581e-005	0.000241675827	0.000126325916	0	0	0	0	0	3
14	4	0	0.35	-0.000116018778	2.66379334e-006	-0.000116018778	0.000241675827	0.00013296676	0	0	0	0	0	3
15	4	0	0.375	4.80043339e-006	2.80623601e-006	-0.000116018778	0.000241675827	0.00013296676	0	0	0	0	0	3
16	4	0	0.4	-0.000347823102	-1.91080976e-005	-0.000347823102	0.000241675827	0.000154738651	0	0	0	0	0	3
17	4	0	0.425	-0.00015395356	-2.70401837e-005	-0.000347823102	0.000241675827	0.000162670737	0	0	0	0	0	3
18	5	0	0.45	-0.000546039974	-5.58735054e-005	-0.000546039974	0.000241675827	0.000191504059	0	0	0	0	0	3
19	5	0	0.475	-0.000312679022	-6.93895852e-005	-0.000546039974	0.000241675827	0.000205020138	0	0	0	0	0	3
20	5	0	0.5	-0.000215606085	-7.67004102e-005	-0.000546039974	0.000241675827	0.000212330963	0	0	0	0	0	3
21	5	0	0.525	-0.000353737381	-9.58665432e-005	-0.000546039974	0.000241675827	0.000231497096	0	0	0	0	0	3
22	5	0	0.55	-0.000448295898	-0.000130365129	-0.000546039974	4.16562344e-005	0.000225187815	0	0	0	0	0	3
23	6	0	0.575	-0.000138625697	-0.000137956762	-0.000546039974	4.16562344e-005	0.000205076447	0	0	0	0	0	3
24	6	0	0.6	-0.000286315161	-0.000151473054	-0.000546039974	4.16562344e-005	0.000204826756	0	0	0	0	0	3
25	6	0	0.625	-0.0001078548	-0.000156780283	-0.000546039974	4.16562344e-005	0.000196614953	0	0	0	0	0	3
26	6	0	0.65	-0.000151122421	-0.000162948379	-0.000546039974	4.16562344e-005	0.000200463201	0	0	0	0	0	3
27	6	0	0.675	-5.99948706e-005	-0.000167127909	-0.000546039974	4.16562344e-005	0.000194967589	0	0	0	0	0	3
28	6	0	0.7	-9.51446139e-005	-0.000169890824	-0.000546039974	4.16562344e-005	0.000195064715	0	0	0	0	0	3
29	7	0	0.725	-5.83146658e-005	-0.000172998936	-0.000546039974	4.16562344e-005	0.000192496122	0	0	0	0	0	3
30	7	0	0.75	-4.32998813e-005	-0.000173584272	-0.000546039974	4.16562344e-005	0.000188754946	0	0	0	0	0	3
31	7	0	0.775	-0.0001116446	-0.00017776178	-0.000546039974	4.16562344e-005	0.000189555002	0	0	0	0	0	3
32	7	0	0.8	3.00255758e-005	-0.000173499413	-0.000546039974	4.16562344e-005	0.000189555002	0	0	0	0	0	3
33	7	0	0.825	-3.55312771e-006	-0.000175759881	-0.000546039974	3.00255758e-005	0.000180568016	0	0	0	0	0	3
34	8	0	0.85	-4.7378265e-005	-0.000172327856	-0.000546039974	3.00255758e-005	0.000180568016	0	0	0	0	0	3
35	8	0	0.875	-0.000161362687	-0.000180636012	-0.000546039974	3.00255758e-005	0.000161527914	0	0	0	0	0	3
36	8	0	0.9	-0.000252489199	-0.000175869317	-0.000546039974	3.00255758e-005	0.000153595828	0	0	0	0	0	3
37	8	0	0.925	-0.000201373792	-0.000178240328	-0.000546039974	3.00255758e-005	0.000124762506	0	0	0	0	0	3
38	8	0	0.95	-0.000320222601	-0.00016694946	-0.000448295898	3.00255758e-005	0.000111246427	0	0	0	0	0	3
39	8	0	0.975	-0.000238732041	-0.000163252111	-0.000448295898	3.00255758e-005	0.000103935602	0	0	0	0	0	3
40	9	0	1	-0.000276432418	-0.000166293427	-0.000448295898	3.00255758e-005	8.47694686e-005	4.41611869	100	0	0	0	3
41	9	0	1.025	-0.000249443536	-0.000161078735	-0.000448295898	3.00255758e-005	5.02708824e-005	4.44551724	100	0	0	0	3
42	9	0	1.05	-0.000214625925	-0.000149395236	-0.000320222601	3.00255758e-005	4.267925e-005	4.40128419	100	0	0	0	3
43	9	0	1.075	-0.00023851078	-0.00015438949	-0.000320222601	3.00255758e-005	3.12407755e-005	4.40250196	100	0	0	0	3
44	9	0	1.1	-0.000280876448	-0.000160412679	-0.000320222601	3.00255758e-005	3.12407755e-005	4.41690453	100	0	0	0	3
45	10	0	1.125	-0.000148582016	-0.000153853958	-0.000320222601	3.00255758e-005	3.12407755e-005	4.41690063	100	0	0	0	3
46	10	0	1.15	-0.000173192488	-0.000156965276	-0.000320222601	3.00255758e-005	3.12407755e-005	4.40170038	100	0	0	0	3
47	10	0	1.175	-0.000220998974	-0.000160292731	-0.000320222601	3.00255758e-005	3.12407755e-005	4.40175619	100	0	0	0	3
48	10	0	1.2	-0.000249342206	-0.000169309271	-0.000320222601	3.00255758e-005	3.12407755e-005	4.4158539	100	0	0	0	3
49	10	0	1.225	-0.00018852131	-0.00017375578	-0.000320222601	3.00255758e-005	3.12407755e-005	4.41573824	100	0	0	0	3
