Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	201205.051	201205.051	201205.051	201205.051	0	0	0	17387	0	0	3
2	1	0	0.05	200184.552	200694.802	200184.552	201205.051	510.249851	0	0	18360.6	0	0	3
3	1	0	0.075	200050.72	200480.108	200050.72	201205.051	724.94373	0	0	16127.8	0	0	3
4	2	0	0.1	199977.758	200354.52	199977.758	201205.051	850.531058	0	0	14401	0	0	3
5	2	0	0.125	200005.721	200284.761	199977.758	201205.051	920.290914	0	0	14797.2	0	0	3
6	2	0	0.15	199975.497	200233.217	199975.497	201205.051	971.834844	0	0	14601	0	0	3
7	2	0	0.175	200011.52	200201.546	199975.497	201205.051	1003.50581	0	0	13941.6	0	0	3
8	2	0	0.2	199993.489	200175.539	199975.497	201205.051	1029.51288	0	0	13213.7	0	0	3
9	3	0	0.225	200018.991	200158.144	199975.497	201205.051	1046.90711	0	0	12338.1	0	0	3
10	3	0	0.25	200007.151	200143.045	199975.497	201205.051	1062.00642	0	0	11417.4	0	0	3
11	3	0	0.275	200050.629	200134.644	199975.497	201205.051	1070.40789	0	0	10740.8	0	0	3
12	3	0	0.3	200054.679	200127.98	199975.497	201205.051	1077.07162	0	0	10497.9	0	0	3
13	3	0	0.325	200070.557	200123.563	199975.497	201205.051	1081.48876	0	0	10468.8	0	0	3
14	4	0	0.35	200074.45	200120.055	199975.497	201205.051	1084.99683	0	0	10472	0	0	3
15	4	0	0.375	200085.793	200117.771	199975.497	201205.051	1087.28093	0	0	10306.3	0	0	3
16	4	0	0.4	200090.675	200116.077	199975.497	201205.051	1088.97443	0	0	10319	0	0	3
17	4	0	0.425	200098.936	200115.069	199975.497	201205.051	1089.98271	0	0	10144.7	0	0	3
18	5	0	0.45	200105.541	200114.539	199975.497	201205.051	1090.51204	0	0	9893.76	0	0	3
19	5	0	0.475	200115.912	200114.612	199975.497	201205.051	1090.51204	0	0	9770.97	0	0	3
20	5	0	0.5	200125.311	200115.147	199975.497	201205.051	1090.51204	0	0	9655.4	0	0	3
21	5	0	0.525	200135.674	200061.678	199975.497	200184.552	209.054788	0	0	9554.88	0	0	3
22	5	0	0.55	200151.682	200060.034	199975.497	200151.682	176.185053	0	0	9431.57	0	0	3
23	6	0	0.575	200171.649	200066.081	199975.497	200171.649	196.15243	0	0	9349.08	0	0	3
24	6	0	0.6	200187.146	200076.55	199975.497	200187.146	211.648735	0	0	9292.65	0	0	3
25	6	0	0.625	200204.756	200086.502	199975.497	200204.756	173.182304	0	0	9234.02	0	0	3
26	6	0	0.65	200218.289	200098.642	199993.489	200218.289	141.511333	0	0	9185.35	0	0	3
27	6	0	0.675	200235.769	200109.854	199993.489	200235.769	115.504264	0	0	9131	0	0	3
28	6	0	0.7	200251.719	200122.765	200007.151	200251.719	98.11004	0	0	9082.69	0	0	3
29	7	0	0.725	200265.382	200135.085	200007.151	200265.382	83.010723	0	0	9035.26	0	0	3
30	7	0	0.75	200276.308	200148.543	200050.629	200276.308	88.5085533	0	0	8992.7	0	0	3
31	7	0	0.775	200284.883	200160.256	200054.679	200284.883	100.221242	0	0	8963.04	0	0	3
32	7	0	0.8	200293.989	200172.221	200070.557	200293.989	112.186733	0	0	8933.15	0	0	3
33	7	0	0.825	200300.395	200183.713	200074.45	200300.395	123.678656	0	0	8904.18	0	0	3
34	8	0	0.85	200305.634	200195.272	200085.793	200305.634	135.23786	0	0	8876.81	0	0	3
35	8	0	0.875	200308.427	200206.404	200090.675	200308.427	146.369573	0	0	8853.09	0	0	3
36	8	0	0.9	200310.112	200217.376	200098.936	200310.112	157.341458	0	0	8837.24	0	0	3
37	8	0	0.925	200311.126	200227.985	200105.541	200311.126	167.950958	0	0	8821.57	0	0	3
38	8	0	0.95	200311.713	200238.294	200115.912	200311.713	178.259566	0	0	8806.67	0	0	3
39	8	0	0.975	200311.734	200248.085	200125.311	200311.734	186.423189	0	0	8793.12	0	0	3
40	9	0	1	200311.46	200257.392	200135.674	200311.734	176.060388	50.4356299	28.6	8782.88	0	0	3
41	9	0	1.025	200310.853	200266.151	200151.682	200311.734	160.052479	50.4356299	31.5	8774.92	0	0	3
42	9	0	1.05	200310.229	200274.079	200171.649	200311.734	140.085102	50.4356299	36	8767.71	0	0	3
43	9	0	1.075	200309.629	200280.978	200187.146	200311.734	124.588797	50.4356299	40.4	8760.67	0	0	3
44	9	0	1.1	200308.852	200282.305	200187.146	200311.734	124.588797	50.4356299	40.4	8754.35	0	0	3
45	10	0	1.125	200308.112	200288.065	200204.756	200311.734	106.97835	50.4356299	47.1	8747.82	0	0	3
46	10	0	1.15	200307.233	200292.945	200218.289	200311.734	93.4450756	50.4356299	53.9	8743.62	0	0	3
47	10	0	1.175	200306.334	200297.138	200235.769	200311.734	75.9652608	50.4356299	66.3	8738.71	0	0	3
48	10	0	1.2	200305.264	200300.447	200251.719	200311.734	60.0159061	50.4356299	84	8734.18	0	0	3
49	10	0	1.225	200304.266	200302.949	200265.382	200311.734	46.3528329	50.4356299	100	8730.74	0	0	3
