Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.199994	293.199994	293.199994	293.199994	0	0	0	0.000545981	0	0	3
2	1	0	0.05	293.199993	293.199994	293.199993	293.199994	2.93273501e-007	0	0	0.000922676	0	0	3
3	1	0	0.075	293.199993	293.199994	293.199993	293.199994	4.7920463e-007	0	0	0.0012588	0	0	3
4	2	0	0.1	293.199993	293.199994	293.199993	293.199994	5.08834432e-007	0	0	0.00151125	0	0	3
5	2	0	0.125	293.199993	293.199994	293.199993	293.199994	5.63525418e-007	0	0	0.00169962	0	0	3
6	2	0	0.15	293.199994	293.199994	293.199993	293.199994	5.63525418e-007	0	0	0.00189679	0	0	3
7	2	0	0.175	293.199994	293.199994	293.199993	293.199994	5.63525418e-007	0	0	0.00213488	0	0	3
8	2	0	0.2	293.199994	293.199994	293.199993	293.199994	5.63525418e-007	0	0	0.00227352	0	0	3
9	3	0	0.225	293.199993	293.199994	293.199993	293.199994	5.63525418e-007	0	0	0.00232403	0	0	3
10	3	0	0.25	293.199992	293.199993	293.199992	293.199994	6.42269185e-007	0	0	0.00230457	0	0	3
11	3	0	0.275	293.19999	293.199993	293.19999	293.199994	9.6053509e-007	0	0	0.00221921	0	0	3
12	3	0	0.3	293.199987	293.199993	293.199987	293.199994	1.48170983e-006	0	0	0.00220381	0	0	3
13	3	0	0.325	293.199983	293.199992	293.199983	293.199994	2.22759365e-006	0	0	0.00214702	0	0	3
14	4	0	0.35	293.199978	293.199991	293.199978	293.199994	3.19373538e-006	0	0	0.00205936	0	0	3
15	4	0	0.375	293.199973	293.19999	293.199973	293.199994	4.37621208e-006	0	0	0.00201218	0	0	3
16	4	0	0.4	293.199965	293.199988	293.199965	293.199994	5.93981542e-006	0	0	0.00194316	0	0	3
17	4	0	0.425	293.199956	293.199986	293.199956	293.199994	7.83359206e-006	0	0	0.00188972	0	0	3
18	5	0	0.45	293.199947	293.199984	293.199947	293.199994	9.98653491e-006	0	0	0.00185371	0	0	3
19	5	0	0.475	293.19994	293.199982	293.19994	293.199994	1.23220404e-005	0	0	0.00182631	0	0	3
20	5	0	0.5	293.199933	293.199979	293.199933	293.199994	1.475919e-005	0	0	0.00181471	0	0	3
21	5	0	0.525	293.199926	293.199976	293.199926	293.199994	1.78852445e-005	0	0	0.00178376	0	0	3
22	5	0	0.55	293.199921	293.199972	293.199921	293.199994	2.13573296e-005	0	0	0.00176985	0	0	3
23	6	0	0.575	293.199917	293.199968	293.199917	293.199994	2.51538403e-005	0	0	0.00175687	0	0	3
