Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.025	0
2	1	0	0.05	0
3	1	0	0.075	0
4	2	0	0.1	0
5	2	0	0.125	0
6	2	0	0.15	0
7	2	0	0.175	0
8	2	0	0.2	0
9	3	0	0.225	0
10	3	0	0.25	0
11	3	0	0.275	0
12	3	0	0.3	0
13	3	0	0.325	0
14	4	0	0.35	0
15	4	0	0.375	0
16	4	0	0.4	0
17	4	0	0.425	0
18	5	0	0.45	0
19	5	0	0.475	0
20	5	0	0.5	0
21	5	0	0.525	0
22	5	0	0.55	0
23	6	0	0.575	0
24	6	0	0.6	0
25	6	0	0.625	0
26	6	0	0.65	0
27	6	0	0.675	0
28	6	0	0.7	0
29	7	0	0.725	0
30	7	0	0.75	0
31	7	0	0.775	0
32	7	0	0.8	0
33	7	0	0.825	0
34	8	0	0.85	0
35	8	0	0.875	0
36	8	0	0.9	0
37	8	0	0.925	0
38	8	0	0.95	0
39	8	0	0.975	0
40	9	0	1	0
41	9	0	1.025	0
42	9	0	1.05	0
43	9	0	1.075	0
44	9	0	1.1	0
45	10	0	1.125	0
46	10	0	1.15	0
47	10	0	1.175	0
48	10	0	1.2	0
49	10	0	1.225	0
