Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	249.390435	249.390435	249.390435	249.390435	0	0	0	0	0	0	3
2	2	0	0.0424822493	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
3	2	0	0.063723374	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
4	3	0	0.0849644986	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
5	3	0	0.106205623	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
6	4	0	0.127446748	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
7	4	0	0.148687873	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
8	5	0	0.169928997	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
9	5	0	0.191170122	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
10	5	0	0.212411247	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
11	6	0	0.233652371	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
12	6	0	0.254893496	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
13	7	0	0.276134621	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
14	7	0	0.297375745	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
15	7	0	0.31861687	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
16	8	0	0.339857994	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
17	8	0	0.361099119	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
18	9	0	0.382340244	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
19	9	0	0.403581368	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
20	10	0	0.424822493	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
21	10	0	0.446063618	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
22	11	0	0.467304742	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
23	11	0	0.488545867	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
24	11	0	0.509786992	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
25	12	0	0.531028116	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
26	12	0	0.552269241	249.390435	249.390435	249.390435	249.390435	8.52651283e-014	0	0	0	0	0	3
27	13	0	0.573510366	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
28	13	0	0.59475149	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
29	14	0	0.615992615	249.390435	249.390435	249.390435	249.390435	5.68434189e-014	0	0	0	0	0	3
30	14	0	0.63723374	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
31	15	0	0.658474864	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
32	15	0	0.679715989	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
33	16	0	0.700957114	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
34	16	0	0.722198238	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
35	16	0	0.743439363	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
36	17	0	0.764680488	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
37	17	0	0.785921612	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
38	18	0	0.807162737	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
39	18	0	0.828403862	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
40	19	0	0.849644986	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
41	19	0	0.870886111	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
42	20	0	0.892127235	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
43	20	0	0.91336836	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
44	20	0	0.934609485	249.390435	249.390435	249.390435	249.390435	2.84217094e-014	0	0	0	0	0	3
45	21	0	0.955850609	249.390435	249.390435	249.390435	249.390435	0	0	0	0	0	0	3
46	21	0	0.977091734	249.390435	249.390435	249.390435	249.390435	0	0	0	0	0	0	3
47	22	0	0.998332859	249.390435	249.390435	249.390435	249.390435	0	0	0	0	0	0	3
48	22	0	1.01957398	249.390435	249.390435	249.390435	249.390435	0	0.249390435	100	0	0	0	3
