Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	-249.388915	-249.388915	-249.388915	-249.388915	0	0	0	0	0	0	3
2	2	0	0.0424822493	-249.390404	-249.389659	-249.390404	-249.388915	0.000744473998	0	0	0	0	0	3
3	2	0	0.063723374	-249.390426	-249.389915	-249.390426	-249.388915	0.0010000894	0	0	0	0	0	3
4	3	0	0.0849644986	-249.390455	-249.39005	-249.390455	-249.388915	0.00113507773	0	0	0	0	0	3
5	3	0	0.106205623	-249.390447	-249.390129	-249.390455	-249.388915	0.00121448844	0	0	0	0	0	3
6	4	0	0.127446748	-249.390458	-249.390184	-249.390458	-249.388915	0.00126917151	0	0	0	0	0	3
7	4	0	0.148687873	-249.390427	-249.390219	-249.390458	-249.388915	0.00130392184	0	0	0	0	0	3
8	5	0	0.169928997	-249.390414	-249.390243	-249.390458	-249.388915	0.00132834762	0	0	0	0	0	3
9	5	0	0.191170122	-249.390423	-249.390263	-249.390458	-249.388915	0.00134826316	0	0	0	0	0	3
10	5	0	0.212411247	-249.390445	-249.390281	-249.390458	-249.388915	0.00136644197	0	0	0	0	0	3
11	6	0	0.233652371	-249.390439	-249.390296	-249.390458	-249.388915	0.00138075263	0	0	0	0	0	3
12	6	0	0.254893496	-249.390404	-249.390305	-249.390458	-249.388915	0.00138977102	0	0	0	0	0	3
13	7	0	0.276134621	-249.390507	-249.39032	-249.390507	-249.388915	0.00140533691	0	0	0	0	0	3
14	7	0	0.297375745	-249.390472	-249.390331	-249.390507	-249.388915	0.00141618496	0	0	0	0	0	3
15	7	0	0.31861687	-249.390465	-249.39034	-249.390507	-249.388915	0.00142508287	0	0	0	0	0	3
16	8	0	0.339857994	-249.390527	-249.390352	-249.390527	-249.388915	0.00143679809	0	0	0	0	0	3
17	8	0	0.361099119	-249.390493	-249.39036	-249.390527	-249.388915	0.00144510006	0	0	0	0	0	3
18	9	0	0.382340244	-249.390485	-249.390367	-249.390527	-249.388915	0.00145201883	0	0	0	0	0	3
19	9	0	0.403581368	-249.390492	-249.390374	-249.390527	-249.388915	0.0014585817	0	0	0	0	0	3
20	10	0	0.424822493	-249.390497	-249.39038	-249.390527	-249.388915	0.00146474125	0	0	0	0	0	3
21	10	0	0.446063618	-249.390487	-249.390385	-249.390527	-249.388915	0.00146984646	0	0	0	0	0	3
22	11	0	0.467304742	-249.390585	-249.390394	-249.390585	-249.388915	0.0014789618	0	0	0	0	0	3
23	11	0	0.488545867	-249.390493	-249.390398	-249.390585	-249.388915	0.0014832522	0	0	0	0	0	3
24	11	0	0.509786992	-249.390522	-249.390403	-249.390585	-249.388915	0.00148839616	0	0	0	0	0	3
25	12	0	0.531028116	-249.390506	-249.39047	-249.390585	-249.390404	0.000181436047	0	0	0	0	0	3
26	12	0	0.552269241	-249.390477	-249.390473	-249.390585	-249.390404	0.000181410684	0	0	0	0	0	3
27	13	0	0.573510366	-249.390496	-249.390476	-249.390585	-249.390404	0.000181410684	0	0	0	0	0	3
28	13	0	0.59475149	-249.390425	-249.390474	-249.390585	-249.390404	0.000181410684	0	0	0	0	0	3
29	14	0	0.615992615	-249.390357	-249.390471	-249.390585	-249.390357	0.000227928217	0	0	0	0	0	3
30	14	0	0.63723374	-249.390416	-249.390469	-249.390585	-249.390357	0.000227928217	0	0	0	0	0	3
31	15	0	0.658474864	-249.390316	-249.390464	-249.390585	-249.390316	0.000232282362	0	0	0	0	0	3
32	15	0	0.679715989	-249.39047	-249.390466	-249.390585	-249.390316	0.000212366824	0	0	0	0	0	3
33	16	0	0.700957114	-249.390262	-249.39046	-249.390585	-249.390262	0.000194188014	0	0	0	0	0	3
34	16	0	0.722198238	-249.390456	-249.39046	-249.390585	-249.390262	0.000179877356	0	0	0	0	0	3
35	16	0	0.743439363	-249.390302	-249.390455	-249.390585	-249.390262	0.000170858962	0	0	0	0	0	3
36	17	0	0.764680488	-249.390406	-249.390455	-249.390585	-249.390262	0.000155293073	0	0	0	0	0	3
37	17	0	0.785921612	-249.390316	-249.390447	-249.390585	-249.390262	0.000144445027	0	0	0	0	0	3
38	18	0	0.807162737	-249.390257	-249.390438	-249.390585	-249.390257	0.000135547116	0	0	0	0	0	3
39	18	0	0.828403862	-249.390245	-249.390429	-249.390585	-249.390245	0.00012383189	0	0	0	0	0	3
40	19	0	0.849644986	-249.390295	-249.390419	-249.390585	-249.390245	0.000115529927	0	0	0	0	0	3
41	19	0	0.870886111	-249.390256	-249.390409	-249.390585	-249.390245	0.000108611152	0	0	0	0	0	3
42	20	0	0.892127235	-249.3903	-249.390401	-249.390585	-249.390245	0.00010204828	0	0	0	0	0	3
43	20	0	0.91336836	-249.39035	-249.390395	-249.390585	-249.390245	9.58887303e-005	0	0	0	0	0	3
44	20	0	0.934609485	-249.390381	-249.390391	-249.390585	-249.390245	9.07835247e-005	0	0	0	0	0	3
45	21	0	0.955850609	-249.390267	-249.390381	-249.390585	-249.390245	9.40796341e-005	0	0	0	0	0	3
46	21	0	0.977091734	-249.39029	-249.390369	-249.390522	-249.390245	0.000106373899	0	0	0	0	0	3
47	22	0	0.998332859	-249.39032	-249.390362	-249.390522	-249.390245	0.000113555248	0	0	0	0	0	3
48	22	0	1.01957398	-249.390268	-249.390351	-249.390506	-249.390245	0.000124143925	0.249390268	100	0	0	0	3
