Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	2.28729081	2.28729081	2.28729081	2.28729081	0	0	0	4.01011	0	0	3
2	2	0	0.0424822493	2.29028394	2.28878737	2.28729081	2.29028394	0.00149656862	0	0	4.02785	0	0	3
3	2	0	0.063723374	2.2927246	2.29009978	2.28729081	2.2927246	0.00280897859	0	0	3.9982	0	0	3
4	3	0	0.0849644986	2.29335454	2.29091347	2.28729081	2.29335454	0.00362266866	0	0	4.00413	0	0	3
5	3	0	0.106205623	2.29481379	2.29169354	2.28729081	2.29481379	0.00440273267	0	0	4.00625	0	0	3
6	4	0	0.127446748	2.29562239	2.29234835	2.28729081	2.29562239	0.00505754176	0	0	4.01037	0	0	3
7	4	0	0.148687873	2.29659887	2.29295556	2.28729081	2.29659887	0.00566475863	0	0	4.01153	0	0	3
8	5	0	0.169928997	2.29669495	2.29342299	2.28729081	2.29669495	0.00613218165	0	0	4.01946	0	0	3
9	5	0	0.191170122	2.29682366	2.29380084	2.28729081	2.29682366	0.00651003447	0	0	4.05499	0	0	3
10	5	0	0.212411247	2.29660787	2.29408154	2.28729081	2.29682366	0.00679073711	0	0	4.09286	0	0	3
11	6	0	0.233652371	2.29611957	2.29426682	2.28729081	2.29682366	0.00697601258	0	0	4.15148	0	0	3
12	6	0	0.254893496	2.29556681	2.29437515	2.28729081	2.29682366	0.00708434542	0	0	4.21048	0	0	3
13	7	0	0.276134621	2.29507204	2.29442876	2.28729081	2.29682366	0.00713795213	0	0	4.26875	0	0	3
14	7	0	0.297375745	2.29464504	2.29444421	2.28729081	2.29682366	0.00715340116	0	0	4.32295	0	0	3
15	7	0	0.31861687	2.29429283	2.29443412	2.28729081	2.29682366	0.00715340116	0	0	4.37132	0	0	3
16	8	0	0.339857994	2.29382777	2.29439622	2.28729081	2.29682366	0.00715340116	0	0	4.42805	0	0	3
17	8	0	0.361099119	2.29333288	2.29433367	2.28729081	2.29682366	0.00715340116	0	0	4.47183	0	0	3
18	9	0	0.382340244	2.29286505	2.29425208	2.28729081	2.29682366	0.00715340116	0	0	4.50587	0	0	3
19	9	0	0.403581368	2.29233864	2.29415137	2.28729081	2.29682366	0.00715340116	0	0	4.53306	0	0	3
20	10	0	0.424822493	2.29193428	2.29404052	2.28729081	2.29682366	0.00715340116	0	0	4.55529	0	0	3
21	10	0	0.446063618	2.2915988	2.29392425	2.28729081	2.29682366	0.00715340116	0	0	4.58608	0	0	3
22	11	0	0.467304742	2.2915263	2.29381525	2.28729081	2.29682366	0.00715340116	0	0	4.6084	0	0	3
23	11	0	0.488545867	2.29160363	2.29371909	2.28729081	2.29682366	0.00715340116	0	0	4.62367	0	0	3
24	11	0	0.509786992	2.29169929	2.29363493	2.28729081	2.29682366	0.00715340116	0	0	4.63333	0	0	3
25	12	0	0.531028116	2.2918271	2.29382394	2.29028394	2.29682366	0.00565683255	0	0	4.63906	0	0	3
