Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	997.561739	997.561739	997.561739	997.561739	0	0	0	0.000169938	0	0	3
2	2	0	0.0424822493	997.561739	997.561739	997.561739	997.561739	1.13686838e-013	0	0	0.000278051	0	0	3
3	2	0	0.063723374	997.561739	997.561739	997.561739	997.561739	1.13686838e-013	0	0	0.00035275	0	0	3
4	3	0	0.0849644986	997.561739	997.561739	997.561739	997.561739	1.13686838e-013	0	0	0.000404508	0	0	3
5	3	0	0.106205623	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000439491	0	0	3
6	4	0	0.127446748	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000470435	0	0	3
7	4	0	0.148687873	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000484478	0	0	3
8	5	0	0.169928997	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000514462	0	0	3
9	5	0	0.191170122	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000568604	0	0	3
10	5	0	0.212411247	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000617695	0	0	3
11	6	0	0.233652371	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000665727	0	0	3
12	6	0	0.254893496	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000610413	0	0	3
13	7	0	0.276134621	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000613899	0	0	3
14	7	0	0.297375745	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000649954	0	0	3
15	7	0	0.31861687	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000759012	0	0	3
16	8	0	0.339857994	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000777101	0	0	3
17	8	0	0.361099119	997.561739	997.561739	997.561739	997.561739	2.27373675e-013	0	0	0.000827453	0	0	3
18	9	0	0.382340244	997.561739	997.561739	997.561739	997.561739	3.41060513e-013	0	0	0.000848562	0	0	3
19	9	0	0.403581368	997.561739	997.561739	997.561739	997.561739	3.41060513e-013	0	0	0.000850163	0	0	3
20	10	0	0.424822493	997.561739	997.561739	997.561739	997.561739	3.41060513e-013	0	0	0.00084356	0	0	3
21	10	0	0.446063618	997.561739	997.561739	997.561739	997.561739	3.41060513e-013	0	0	0.000849591	0	0	3
22	11	0	0.467304742	997.561739	997.561739	997.561739	997.561739	3.41060513e-013	0	0	0.00084928	0	0	3
23	11	0	0.488545867	997.561739	997.561739	997.561739	997.561739	3.41060513e-013	0	0	0.000844166	0	0	3
24	11	0	0.509786992	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000838052	0	0	3
25	12	0	0.531028116	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000831865	0	0	3
26	12	0	0.552269241	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000832683	0	0	3
27	13	0	0.573510366	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000828164	0	0	3
28	13	0	0.59475149	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000821024	0	0	3
29	14	0	0.615992615	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000811705	0	0	3
30	14	0	0.63723374	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000802476	0	0	3
31	15	0	0.658474864	997.561739	997.561739	997.561739	997.561739	4.54747351e-013	0	0	0.000792753	0	0	3
