Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	210653.516	210653.516	210653.516	210653.516	0	0	0	53914.9	0	0	3
2	2	0	0.0424822493	203384.788	207019.152	203384.788	210653.516	3634.36395	0	0	64860.5	0	0	3
3	2	0	0.063723374	203003.462	205680.589	203003.462	210653.516	4972.92725	0	0	68643.5	0	0	3
4	3	0	0.0849644986	202445.332	204871.774	202445.332	210653.516	5781.74148	0	0	57653.5	0	0	3
5	3	0	0.106205623	202644.631	204426.346	202445.332	210653.516	6227.17022	0	0	40845.6	0	0	3
6	4	0	0.127446748	202356.425	204081.359	202356.425	210653.516	6572.15699	0	0	28889.8	0	0	3
7	4	0	0.148687873	202319.846	203829.714	202319.846	210653.516	6823.80175	0	0	19943.3	0	0	3
8	5	0	0.169928997	202173.435	203622.679	202173.435	210653.516	7030.83669	0	0	17616.5	0	0	3
9	5	0	0.191170122	202143.589	203458.336	202143.589	210653.516	7195.18001	0	0	17051.8	0	0	3
10	5	0	0.212411247	202055.355	203318.038	202055.355	210653.516	7335.47807	0	0	16359.4	0	0	3
11	6	0	0.233652371	201984.397	203196.798	201984.397	210653.516	7456.71814	0	0	16039	0	0	3
12	6	0	0.254893496	201911.389	203089.68	201911.389	210653.516	7563.83551	0	0	15775.2	0	0	3
13	7	0	0.276134621	201851.146	202994.409	201851.146	210653.516	7659.10741	0	0	16328.6	0	0	3
14	7	0	0.297375745	201792.923	202908.588	201792.923	210653.516	7744.92783	0	0	16996.1	0	0	3
15	7	0	0.31861687	201741.87	202830.807	201741.87	210653.516	7822.70903	0	0	18384.4	0	0	3
16	8	0	0.339857994	201644.958	202756.691	201644.958	210653.516	7896.82459	0	0	17724.1	0	0	3
17	8	0	0.361099119	201552.812	202685.875	201552.812	210653.516	7967.64101	0	0	17794.2	0	0	3
18	9	0	0.382340244	201466.783	202618.148	201466.783	210653.516	8035.36833	0	0	17517	0	0	3
19	9	0	0.403581368	201380.556	202553.011	201380.556	210653.516	8100.50471	0	0	17181.9	0	0	3
20	10	0	0.424822493	201304.785	202490.6	201304.785	210653.516	8162.91602	0	0	16787.3	0	0	3
21	10	0	0.446063618	201227.568	202430.456	201227.568	210653.516	8223.06037	0	0	16508.5	0	0	3
22	11	0	0.467304742	201166.299	202372.994	201166.299	210653.516	8280.52203	0	0	16255.5	0	0	3
23	11	0	0.488545867	201127.898	202318.859	201127.898	210653.516	8334.65664	0	0	16041.3	0	0	3
24	11	0	0.509786992	201106.251	202268.334	201106.251	210653.516	8385.18198	0	0	15878.9	0	0	3
25	12	0	0.531028116	201099.379	201870.245	201099.379	203384.788	2285.4091	0	0	15748.9	0	0	3
26	12	0	0.552269241	201098.106	201774.967	201098.106	203003.462	1905.3558	0	0	15676.2	0	0	3
27	13	0	0.573510366	201109.027	201696.032	201098.106	202644.631	1546.52446	0	0	15603.9	0	0	3
28	13	0	0.59475149	201126.413	201641.077	201098.106	202644.631	1546.52446	0	0	15551.7	0	0	3
29	14	0	0.615992615	201148.996	201578.759	201098.106	202356.425	1258.31883	0	0	15489.1	0	0	3
30	14	0	0.63723374	201171.136	201529.372	201098.106	202319.846	1221.73932	0	0	15449.4	0	0	3
31	15	0	0.658474864	201192.25	201482.389	201098.106	202173.435	1075.32838	0	0	15404	0	0	3
32	15	0	0.679715989	201214.474	201442.432	201098.106	202143.589	1045.48308	0	0	15363.7	0	0	3
33	16	0	0.700957114	201235.136	201404.58	201098.106	202055.355	957.249017	0	0	15308.4	0	0	3
34	16	0	0.722198238	201250.443	201371.042	201098.106	201984.397	886.290842	0	0	15266.4	0	0	3
35	16	0	0.743439363	201263.733	201341.014	201098.106	201911.389	813.283057	0	0	15209.8	0	0	3
36	17	0	0.764680488	201272.153	201314.379	201098.106	201851.146	753.039475	0	0	15175.1	0	0	3
37	17	0	0.785921612	201280.986	201290.622	201098.106	201792.923	694.816346	0	0	15126.7	0	0	3
38	18	0	0.807162737	201286.933	201269.539	201098.106	201741.87	643.763786	0	0	15088.5	0	0	3
39	18	0	0.828403862	201292.701	201250.824	201098.106	201644.958	546.851636	0	0	15036.6	0	0	3
40	19	0	0.849644986	201295.94	201236.282	201098.106	201552.812	454.706029	0	0	14997.1	0	0	3
41	19	0	0.870886111	201299.525	201225.728	201098.106	201466.783	368.676887	0	0	14959.2	0	0	3
42	20	0	0.892127235	201304.133	201218.951	201098.106	201380.556	282.450019	0	0	14928.1	0	0	3
43	20	0	0.91336836	201309.565	201215.993	201098.106	201309.565	211.458326	0	0	14891	0	0	3
44	20	0	0.934609485	201314.684	201216.405	201098.106	201314.684	216.57731	0	0	14861.5	0	0	3
45	21	0	0.955850609	201319.931	201220.254	201098.106	201319.931	221.82491	0	0	14832.2	0	0	3
46	21	0	0.977091734	201325.274	201226.878	201098.106	201325.274	227.167327	0	0	14811.6	0	0	3
47	22	0	0.998332859	201331.117	201235.345	201098.106	201331.117	233.01108	0	0	14788.9	0	0	3
48	22	0	1.01957398	201335.78	201244.909	201098.106	201335.78	237.674023	101.90605	42.8	14772.8	0	0	3
