Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	200000	200000	200000	200000	0	0	0	53914.9	0	0	3
2	2	0	0.0424822493	200000	200000	200000	200000	2.91038305e-011	0	0	64860.5	0	0	3
3	2	0	0.063723374	200000	200000	200000	200000	2.91038305e-011	0	0	68643.5	0	0	3
4	3	0	0.0849644986	200000	200000	200000	200000	2.91038305e-011	0	0	57653.5	0	0	3
5	3	0	0.106205623	200000	200000	200000	200000	2.91038305e-011	0	0	40845.6	0	0	3
6	4	0	0.127446748	200000	200000	200000	200000	5.82076609e-011	0	0	28889.8	0	0	3
7	4	0	0.148687873	200000	200000	200000	200000	5.82076609e-011	0	0	19943.3	0	0	3
8	5	0	0.169928997	200000	200000	200000	200000	5.82076609e-011	0	0	17616.5	0	0	3
9	5	0	0.191170122	200000	200000	200000	200000	5.82076609e-011	0	0	17051.8	0	0	3
10	5	0	0.212411247	200000	200000	200000	200000	5.82076609e-011	0	0	16359.4	0	0	3
11	6	0	0.233652371	200000	200000	200000	200000	5.82076609e-011	0	0	16039	0	0	3
12	6	0	0.254893496	200000	200000	200000	200000	5.82076609e-011	0	0	15775.2	0	0	3
13	7	0	0.276134621	200000	200000	200000	200000	5.82076609e-011	0	0	16328.6	0	0	3
14	7	0	0.297375745	200000	200000	200000	200000	5.82076609e-011	0	0	16996.1	0	0	3
15	7	0	0.31861687	200000	200000	200000	200000	5.82076609e-011	0	0	18384.4	0	0	3
16	8	0	0.339857994	200000	200000	200000	200000	5.82076609e-011	0	0	17724.1	0	0	3
17	8	0	0.361099119	200000	200000	200000	200000	5.82076609e-011	0	0	17794.2	0	0	3
18	9	0	0.382340244	200000	200000	200000	200000	5.82076609e-011	0	0	17517	0	0	3
19	9	0	0.403581368	200000	200000	200000	200000	5.82076609e-011	0	0	17181.9	0	0	3
20	10	0	0.424822493	200000	200000	200000	200000	5.82076609e-011	0	0	16787.3	0	0	3
21	10	0	0.446063618	200000	200000	200000	200000	5.82076609e-011	0	0	16508.5	0	0	3
22	11	0	0.467304742	200000	200000	200000	200000	5.82076609e-011	0	0	16255.5	0	0	3
23	11	0	0.488545867	200000	200000	200000	200000	5.82076609e-011	0	0	16041.3	0	0	3
24	11	0	0.509786992	200000	200000	200000	200000	5.82076609e-011	0	0	15878.9	0	0	3
25	12	0	0.531028116	199999.988	200000	199999.988	200000	0.000493647938	0	0	15748.9	0	0	3
26	12	0	0.552269241	199999.944	199999.997	199999.944	200000	0.00282066606	0	0	15676.2	0	0	3
27	13	0	0.573510366	199999.884	199999.992	199999.884	200000	0.00767219078	0	0	15603.9	0	0	3
28	13	0	0.59475149	199999.833	199999.985	199999.833	200000	0.0146340058	0	0	15551.7	0	0	3
29	14	0	0.615992615	199999.79	199999.977	199999.79	200000	0.0233923835	0	0	15489.1	0	0	3
30	14	0	0.63723374	199999.765	199999.967	199999.765	200000	0.0331659587	0	0	15449.4	0	0	3
31	15	0	0.658474864	199999.717	199999.955	199999.717	200000	0.0449510044	0	0	15404	0	0	3
32	15	0	0.679715989	199999.704	199999.943	199999.704	200000	0.057283717	0	0	15363.7	0	0	3
33	16	0	0.700957114	199999.718	199999.931	199999.704	200000	0.0690242628	0	0	15308.4	0	0	3
34	16	0	0.722198238	199999.755	199999.921	199999.704	200000	0.0792212323	0	0	15266.4	0	0	3
35	16	0	0.743439363	199999.814	199999.913	199999.704	200000	0.0869728468	0	0	15209.8	0	0	3
36	17	0	0.764680488	199999.897	199999.909	199999.704	200000	0.0912544497	0	0	15175.1	0	0	3
37	17	0	0.785921612	199999.957	199999.907	199999.704	200000	0.0930255649	0	0	15126.7	0	0	3
38	18	0	0.807162737	199999.983	199999.906	199999.704	200000	0.0937424845	0	0	15088.5	0	0	3
39	18	0	0.828403862	199999.984	199999.906	199999.704	200000	0.0944115674	0	0	15036.6	0	0	3
40	19	0	0.849644986	199999.984	199999.905	199999.704	200000	0.0950693394	0	0	14997.1	0	0	3
41	19	0	0.870886111	199999.986	199999.904	199999.704	200000	0.0956635741	0	0	14959.2	0	0	3
42	20	0	0.892127235	199999.864	199999.899	199999.704	200000	0.10131151	0	0	14928.1	0	0	3
43	20	0	0.91336836	199999.892	199999.894	199999.704	200000	0.10582028	0	0	14891	0	0	3
44	20	0	0.934609485	199999.811	199999.886	199999.704	200000	0.113675493	0	0	14861.5	0	0	3
45	21	0	0.955850609	199999.755	199999.876	199999.704	200000	0.123894212	0	0	14832.2	0	0	3
46	21	0	0.977091734	199999.685	199999.863	199999.685	200000	0.137035457	0	0	14811.6	0	0	3
47	22	0	0.998332859	199999.665	199999.849	199999.665	200000	0.15099315	0	0	14788.9	0	0	3
48	22	0	1.01957398	199999.661	199999.835	199999.661	199999.988	0.164624885	0.0181315671	11	14772.8	0	0	3
