Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	203029.667	203029.667	203029.667	203029.667	0	0	0	55064.7	0	0	3
2	2	0	0.0424822493	203094.083	203061.875	203029.667	203094.083	32.2079487	0	0	66043.5	0	0	3
3	2	0	0.063723374	203091.856	203071.869	203029.667	203094.083	42.2013376	0	0	69849.8	0	0	3
4	3	0	0.0849644986	203088.503	203076.027	203029.667	203094.083	46.3600038	0	0	58894.9	0	0	3
5	3	0	0.106205623	203091.9	203079.202	203029.667	203094.083	49.5344473	0	0	42118.8	0	0	3
6	4	0	0.127446748	203094.964	203081.829	203029.667	203094.964	52.1614857	0	0	30196.1	0	0	3
7	4	0	0.148687873	203107.358	203085.476	203029.667	203107.358	55.8085322	0	0	21260.1	0	0	3
8	5	0	0.169928997	203123.209	203090.193	203029.667	203123.209	60.5251762	0	0	18834.1	0	0	3
9	5	0	0.191170122	203145.589	203096.348	203029.667	203145.589	66.6803257	0	0	18130.6	0	0	3
10	5	0	0.212411247	203171.106	203103.824	203029.667	203171.106	74.1561908	0	0	17330.1	0	0	3
11	6	0	0.233652371	203204.543	203112.98	203029.667	203204.543	83.3125218	0	0	16909.6	0	0	3
12	6	0	0.254893496	203239.406	203123.515	203029.667	203239.406	93.8479856	0	0	16587	0	0	3
13	7	0	0.276134621	203265.273	203134.42	203029.667	203265.273	104.752408	0	0	17617.8	0	0	3
14	7	0	0.297375745	203277.408	203144.633	203029.667	203277.408	114.965821	0	0	18294.6	0	0	3
15	7	0	0.31861687	203274.103	203153.265	203029.667	203277.408	123.597123	0	0	19692.1	0	0	3
16	8	0	0.339857994	203241.24	203158.763	203029.667	203277.408	129.095616	0	0	19042.2	0	0	3
17	8	0	0.361099119	203184.059	203160.251	203029.667	203277.408	130.583626	0	0	19115.9	0	0	3
18	9	0	0.382340244	203113.877	203157.675	203029.667	203277.408	130.583626	0	0	18836.9	0	0	3
19	9	0	0.403581368	203040.357	203151.5	203029.667	203277.408	130.583626	0	0	18494.8	0	0	3
20	10	0	0.424822493	202972.803	203142.565	202972.803	203277.408	130.583626	0	0	18088.4	0	0	3
21	10	0	0.446063618	202901.252	203131.074	202901.252	203277.408	130.583626	0	0	17787.6	0	0	3
22	11	0	0.467304742	202850.591	203118.325	202850.591	203277.408	130.583626	0	0	17509.6	0	0	3
23	11	0	0.488545867	202824.478	203105.549	202824.478	203277.408	130.583626	0	0	17269.3	0	0	3
24	11	0	0.509786992	202815.723	203093.473	202815.723	203277.408	130.583626	0	0	17075.2	0	0	3
25	12	0	0.531028116	202818.396	203084.67	202815.723	203277.408	98.375677	0	0	16913.9	0	0	3
26	12	0	0.552269241	202831.467	203073.728	202815.723	203277.408	88.3822882	0	0	16820.5	0	0	3
27	13	0	0.573510366	202853.41	203063.792	202815.723	203277.408	96.4587786	0	0	16719.3	0	0	3
28	13	0	0.59475149	202880.579	203055.129	202815.723	203277.408	105.12231	0	0	16641.8	0	0	3
29	14	0	0.615992615	202910.43	203047.568	202815.723	203277.408	112.683559	0	0	16556.8	0	0	3
30	14	0	0.63723374	202939.22	203041.078	202815.723	203277.408	119.172895	0	0	16497.3	0	0	3
31	15	0	0.658474864	202970.881	203035.392	202815.723	203277.408	124.859427	0	0	16426.4	0	0	3
32	15	0	0.679715989	202999.057	203030.219	202815.723	203277.408	130.032434	0	0	16364.8	0	0	3
33	16	0	0.700957114	203020.482	203025.006	202815.723	203277.408	135.245234	0	0	16291.1	0	0	3
34	16	0	0.722198238	203038.321	203019.473	202815.723	203277.408	140.777954	0	0	16233.1	0	0	3
35	16	0	0.743439363	203053.005	203013.159	202815.723	203277.408	147.092054	0	0	16162.7	0	0	3
36	17	0	0.764680488	203066.689	203005.963	202815.723	203277.408	154.288579	0	0	16110.7	0	0	3
37	17	0	0.785921612	203078.258	202998.17	202815.723	203277.408	162.080855	0	0	16048	0	0	3
38	18	0	0.807162737	203085.362	202990.168	202815.723	203274.103	170.08275	0	0	15998	0	0	3
39	18	0	0.828403862	203087.959	202982.412	202815.723	203241.24	177.838738	0	0	15936.1	0	0	3
40	19	0	0.849644986	203089.654	202976.096	202815.723	203184.059	184.154854	0	0	15888.2	0	0	3
41	19	0	0.870886111	203093.663	202972.33	202815.723	203113.877	185.345017	0	0	15840.4	0	0	3
42	20	0	0.892127235	203099.843	202971.745	202815.723	203099.843	179.755168	0	0	15801.3	0	0	3
43	20	0	0.91336836	203105.759	202974.47	202815.723	203105.759	170.820333	0	0	15757.7	0	0	3
44	20	0	0.934609485	203113.162	202980.318	202815.723	203113.162	159.32922	0	0	15722.7	0	0	3
45	21	0	0.955850609	203119.46	202989.41	202815.723	203119.46	146.57997	0	0	15688.9	0	0	3
46	21	0	0.977091734	203125.85	203000.879	202815.723	203125.85	133.804018	0	0	15664.8	0	0	3
47	22	0	0.998332859	203132.195	203013.701	202815.723	203132.195	121.727927	0	0	15639.2	0	0	3
48	22	0	1.01957398	203137.174	203027.095	202818.396	203137.174	112.924937	24.6927533	21.8	15620.5	0	0	3
