Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	2.17013889	2.17013889	2.17013889	2.17013889	0	0	0	4.01011	0	0	3
2	2	0	0.0424822493	2.17013889	2.17013889	2.17013889	2.17013889	0	0	0	4.02785	0	0	3
3	2	0	0.063723374	2.17013889	2.17013889	2.17013889	2.17013889	0	0	0	3.9982	0	0	3
4	3	0	0.0849644986	2.17013889	2.17013889	2.17013889	2.17013889	0	0	0	4.00413	0	0	3
5	3	0	0.106205623	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.00625	0	0	3
6	4	0	0.127446748	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.01037	0	0	3
7	4	0	0.148687873	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.01153	0	0	3
8	5	0	0.169928997	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.01946	0	0	3
9	5	0	0.191170122	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.05499	0	0	3
10	5	0	0.212411247	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.09286	0	0	3
11	6	0	0.233652371	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.15148	0	0	3
12	6	0	0.254893496	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.21048	0	0	3
13	7	0	0.276134621	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.26875	0	0	3
14	7	0	0.297375745	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.32295	0	0	3
15	7	0	0.31861687	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.37132	0	0	3
16	8	0	0.339857994	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.42805	0	0	3
17	8	0	0.361099119	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.47183	0	0	3
18	9	0	0.382340244	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.50587	0	0	3
19	9	0	0.403581368	2.17013889	2.17013889	2.17013889	2.17013889	4.4408921e-016	0	0	4.53306	0	0	3
20	10	0	0.424822493	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.55529	0	0	3
21	10	0	0.446063618	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.58608	0	0	3
22	11	0	0.467304742	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.6084	0	0	3
23	11	0	0.488545867	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.62367	0	0	3
24	11	0	0.509786992	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.63333	0	0	3
25	12	0	0.531028116	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.63906	0	0	3
26	12	0	0.552269241	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.64272	0	0	3
27	13	0	0.573510366	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.64518	0	0	3
28	13	0	0.59475149	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.64557	0	0	3
29	14	0	0.615992615	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.6448	0	0	3
30	14	0	0.63723374	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.6438	0	0	3
31	15	0	0.658474864	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.64181	0	0	3
32	15	0	0.679715989	2.17013889	2.17013889	2.17013889	2.17013889	8.8817842e-016	0	0	4.6393	0	0	3
