Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0424822493	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.063723374	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0849644986	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.106205623	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.127446748	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.148687873	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.169928997	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.191170122	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.212411247	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.233652371	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.254893496	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.276134621	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.297375745	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.31861687	0	0	0	0	0	0	0	0	0	0	3
16	8	0	0.339857994	0	0	0	0	0	0	0	0	0	0	3
17	8	0	0.361099119	0	0	0	0	0	0	0	0	0	0	3
18	9	0	0.382340244	0	0	0	0	0	0	0	0	0	0	3
19	9	0	0.403581368	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.424822493	0	0	0	0	0	0	0	0	0	0	3
21	10	0	0.446063618	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.467304742	0	0	0	0	0	0	0	0	0	0	3
23	11	0	0.488545867	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.509786992	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.531028116	0	0	0	0	0	0	0	0	0	0	3
26	12	0	0.552269241	0	0	0	0	0	0	0	0	0	0	3
27	13	0	0.573510366	0	0	0	0	0	0	0	0	0	0	3
28	13	0	0.59475149	0	0	0	0	0	0	0	0	0	0	3
29	14	0	0.615992615	0	0	0	0	0	0	0	0	0	0	3
30	14	0	0.63723374	0	0	0	0	0	0	0	0	0	0	3
31	15	0	0.658474864	0	0	0	0	0	0	0	0	0	0	3
32	15	0	0.679715989	0	0	0	0	0	0	0	0	0	0	3
33	16	0	0.700957114	0	0	0	0	0	0	0	0	0	0	3
34	16	0	0.722198238	0	0	0	0	0	0	0	0	0	0	3
35	16	0	0.743439363	0	0	0	0	0	0	0	0	0	0	3
36	17	0	0.764680488	0	0	0	0	0	0	0	0	0	0	3
37	17	0	0.785921612	0	0	0	0	0	0	0	0	0	0	3
38	18	0	0.807162737	0	0	0	0	0	0	0	0	0	0	3
39	18	0	0.828403862	0	0	0	0	0	0	0	0	0	0	3
40	19	0	0.849644986	0	0	0	0	0	0	0	0	0	0	3
41	19	0	0.870886111	0	0	0	0	0	0	0	0	0	0	3
42	20	0	0.892127235	0	0	0	0	0	0	0	0	0	0	3
43	20	0	0.91336836	0	0	0	0	0	0	0	0	0	0	3
44	20	0	0.934609485	0	0	0	0	0	0	0	0	0	0	3
45	21	0	0.955850609	0	0	0	0	0	0	0	0	0	0	3
46	21	0	0.977091734	0	0	0	0	0	0	0	0	0	0	3
47	22	0	0.998332859	0	0	0	0	0	0	0	0	0	0	3
48	22	0	1.01957398	0	0	0	0	0	5e-006	0	0	0	0	3
