Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	0.00151989497	0.00151989497	0.00151989497	0.00151989497	0	0	0	0	0	0	3
2	2	0	0.0424822493	3.09469721e-005	0.000775420971	3.09469721e-005	0.00151989497	0.000744473998	0	0	0	0	0	3
3	2	0	0.063723374	8.57475947e-006	0.000519805567	8.57475947e-006	0.00151989497	0.0010000894	0	0	0	0	0	3
4	3	0	0.0849644986	-2.01477517e-005	0.000384817237	-2.01477517e-005	0.00151989497	0.00113507773	0	0	0	0	0	3
5	3	0	0.106205623	-1.22363081e-005	0.000305406528	-2.01477517e-005	0.00151989497	0.00121448844	0	0	0	0	0	3
6	4	0	0.127446748	-2.26918735e-005	0.000250723461	-2.26918735e-005	0.00151989497	0.00126917151	0	0	0	0	0	3
7	4	0	0.148687873	7.47112718e-006	0.000215973128	-2.26918735e-005	0.00151989497	0.00130392184	0	0	0	0	0	3
8	5	0	0.169928997	2.05668813e-005	0.000191547347	-2.26918735e-005	0.00151989497	0.00132834762	0	0	0	0	0	3
9	5	0	0.191170122	1.23075011e-005	0.000171631809	-2.26918735e-005	0.00151989497	0.00134826316	0	0	0	0	0	3
10	5	0	0.212411247	-1.01562935e-005	0.000153452998	-2.26918735e-005	0.00151989497	0.00136644197	0	0	0	0	0	3
11	6	0	0.233652371	-3.96423671e-006	0.000139142341	-2.26918735e-005	0.00151989497	0.00138075263	0	0	0	0	0	3
12	6	0	0.254893496	3.09216094e-005	0.000130123946	-2.26918735e-005	0.00151989497	0.00138977102	0	0	0	0	0	3
13	7	0	0.276134621	-7.22326045e-005	0.000114558058	-7.22326045e-005	0.00151989497	0.00140533691	0	0	0	0	0	3
14	7	0	0.297375745	-3.73145923e-005	0.000103710011	-7.22326045e-005	0.00151989497	0.00141618496	0	0	0	0	0	3
15	7	0	0.31861687	-2.97586458e-005	9.48121009e-005	-7.22326045e-005	0.00151989497	0.00142508287	0	0	0	0	0	3
16	8	0	0.339857994	-9.26315137e-005	8.3096875e-005	-9.26315137e-005	0.00151989497	0.00143679809	0	0	0	0	0	3
17	8	0	0.361099119	-5.80364989e-005	7.47949118e-005	-9.26315137e-005	0.00151989497	0.00144510006	0	0	0	0	0	3
18	9	0	0.382340244	-4.9743036e-005	6.78761369e-005	-9.26315137e-005	0.00151989497	0.00145201883	0	0	0	0	0	3
19	9	0	0.403581368	-5.68184285e-005	6.13132651e-005	-9.26315137e-005	0.00151989497	0.0014585817	0	0	0	0	0	3
20	10	0	0.424822493	-6.18777359e-005	5.5153715e-005	-9.26315137e-005	0.00151989497	0.00146474125	0	0	0	0	0	3
21	10	0	0.446063618	-5.20556035e-005	5.00485094e-005	-9.26315137e-005	0.00151989497	0.00146984646	0	0	0	0	0	3
22	11	0	0.467304742	-0.000150489075	4.09331646e-005	-0.000150489075	0.00151989497	0.0014789618	0	0	0	0	0	3
23	11	0	0.488545867	-5.77459008e-005	3.66427705e-005	-0.000150489075	0.00151989497	0.0014832522	0	0	0	0	0	3
24	11	0	0.509786992	-8.68123525e-005	3.1498807e-005	-0.000150489075	0.00151989497	0.00148839616	0	0	0	0	0	3
25	12	0	0.531028116	-7.07838093e-005	-3.47794754e-005	-0.000150489075	3.09469721e-005	0.000181436047	0	0	0	0	0	3
26	12	0	0.552269241	-4.20880526e-005	-3.78226014e-005	-0.000150489075	3.09216094e-005	0.000181410684	0	0	0	0	0	3
27	13	0	0.573510366	-6.13231743e-005	-4.07350153e-005	-0.000150489075	3.09216094e-005	0.000181410684	0	0	0	0	0	3
28	13	0	0.59475149	1.02945522e-005	-3.9466586e-005	-0.000150489075	3.09216094e-005	0.000181410684	0	0	0	0	0	3
29	14	0	0.615992615	7.74391421e-005	-3.57301089e-005	-0.000150489075	7.74391421e-005	0.000227928217	0	0	0	0	0	3
30	14	0	0.63723374	1.90399236e-005	-3.3991284e-005	-0.000150489075	7.74391421e-005	0.000227928217	0	0	0	0	0	3
31	15	0	0.658474864	0.000119206295	-2.9335652e-005	-0.000150489075	0.000119206295	0.000232282362	0	0	0	0	0	3
32	15	0	0.679715989	-3.49050038e-005	-3.16469806e-005	-0.000150489075	0.000119206295	0.000212366824	0	0	0	0	0	3
33	16	0	0.700957114	0.000172406516	-2.49761883e-005	-0.000150489075	0.000172406516	0.000194188014	0	0	0	0	0	3
34	16	0	0.722198238	-2.12599625e-005	-2.54388412e-005	-0.000150489075	0.000172406516	0.000179877356	0	0	0	0	0	3
35	16	0	0.743439363	0.00013240619	-1.97567401e-005	-0.000150489075	0.000172406516	0.000170858962	0	0	0	0	0	3
36	17	0	0.764680488	2.92276955e-005	-1.98273198e-005	-0.000150489075	0.000172406516	0.000155293073	0	0	0	0	0	3
37	17	0	0.785921612	0.00011898948	-1.1859733e-005	-0.000150489075	0.000172406516	0.000144445027	0	0	0	0	0	3
38	18	0	0.807162737	0.000177513373	-2.90856777e-006	-0.000150489075	0.000177513373	0.000135547116	0	0	0	0	0	3
39	18	0	0.828403862	0.000189423417	6.22401818e-006	-0.000150489075	0.000189423417	0.00012383189	0	0	0	0	0	3
40	19	0	0.849644986	0.000139975412	1.59159734e-005	-0.000150489075	0.000189423417	0.000115529927	0	0	0	0	0	3
41	19	0	0.870886111	0.000178801798	2.57842358e-005	-0.000150489075	0.000189423417	0.000108611152	0	0	0	0	0	3
42	20	0	0.892127235	0.000134878977	3.34768197e-005	-0.000150489075	0.000189423417	0.00010204828	0	0	0	0	0	3
43	20	0	0.91336836	8.47781342e-005	3.93766764e-005	-0.000150489075	0.000189423417	9.58887303e-005	0	0	0	0	0	3
44	20	0	0.934609485	5.3730574e-005	4.41936893e-005	-0.000150489075	0.000189423417	9.07835247e-005	0	0	0	0	0	3
45	21	0	0.955850609	0.000167566701	5.33446187e-005	-0.000150489075	0.000189423417	9.40796341e-005	0	0	0	0	0	3
46	21	0	0.977091734	0.000144573283	6.56388836e-005	-8.68123525e-005	0.000189423417	0.000106373899	0	0	0	0	0	3
47	22	0	0.998332859	0.000114606484	7.2820233e-005	-8.68123525e-005	0.000189423417	0.000113555248	0	0	0	0	0	3
48	22	0	1.01957398	0.000167315882	8.34089094e-005	-7.07838093e-005	0.000189423417	0.000124143925	4.93398028	0	0	0	0	3
