Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	205216.303	205216.303	205216.303	205216.303	0	0	0	53914.9	0	0	3
2	2	0	0.0424822493	201277.852	203247.077	201277.852	205216.303	1969.22544	0	0	64860.5	0	0	3
3	2	0	0.063723374	201037.765	202510.64	201037.765	205216.303	2705.66305	0	0	68643.5	0	0	3
4	3	0	0.0849644986	200768.798	202075.179	200768.798	205216.303	3141.12352	0	0	57653.5	0	0	3
5	3	0	0.106205623	200854.124	201830.968	200768.798	205216.303	3385.3345	0	0	40845.6	0	0	3
6	4	0	0.127446748	200740.94	201649.297	200740.94	205216.303	3567.00585	0	0	28889.8	0	0	3
7	4	0	0.148687873	200738.016	201519.114	200738.016	205216.303	3697.18885	0	0	19943.3	0	0	3
8	5	0	0.169928997	200689.46	201415.407	200689.46	205216.303	3800.89563	0	0	17616.5	0	0	3
9	5	0	0.191170122	200689.118	201334.708	200689.118	205216.303	3881.59441	0	0	17051.8	0	0	3
10	5	0	0.212411247	200666.773	201267.915	200666.773	205216.303	3948.38795	0	0	16359.4	0	0	3
11	6	0	0.233652371	200656.076	201212.293	200656.076	205216.303	4004.0097	0	0	16039	0	0	3
12	6	0	0.254893496	200647.091	201165.193	200647.091	205216.303	4051.10988	0	0	15775.2	0	0	3
13	7	0	0.276134621	200641.34	201124.897	200641.34	205216.303	4091.40623	0	0	16328.6	0	0	3
14	7	0	0.297375745	200633.441	201089.793	200633.441	205216.303	4126.51022	0	0	16996.1	0	0	3
15	7	0	0.31861687	200624.882	201058.798	200624.882	205216.303	4157.50429	0	0	18384.4	0	0	3
16	8	0	0.339857994	200583.374	201029.084	200583.374	205216.303	4187.21835	0	0	17724.1	0	0	3
17	8	0	0.361099119	200539.075	201000.26	200539.075	205216.303	4216.04243	0	0	17794.2	0	0	3
18	9	0	0.382340244	200491.249	200971.982	200491.249	205216.303	4244.32084	0	0	17517	0	0	3
19	9	0	0.403581368	200436.939	200943.822	200436.939	205216.303	4272.481	0	0	17181.9	0	0	3
20	10	0	0.424822493	200385.397	200915.901	200385.397	205216.303	4300.40224	0	0	16787.3	0	0	3
21	10	0	0.446063618	200328.492	200887.929	200328.492	205216.303	4328.37409	0	0	16508.5	0	0	3
22	11	0	0.467304742	200281.343	200860.357	200281.343	205216.303	4355.94617	0	0	16255.5	0	0	3
23	11	0	0.488545867	200250.747	200833.852	200250.747	205216.303	4382.45093	0	0	16041.3	0	0	3
24	11	0	0.509786992	200232.338	200808.789	200232.338	205216.303	4407.51399	0	0	15878.9	0	0	3
25	12	0	0.531028116	200224.292	200600.788	200224.292	201277.852	1053.55981	0	0	15748.9	0	0	3
26	12	0	0.552269241	200220.863	200556.747	200220.863	201037.765	816.901345	0	0	15676.2	0	0	3
27	13	0	0.573510366	200226.25	200522.934	200220.863	200854.124	633.261182	0	0	15603.9	0	0	3
28	13	0	0.59475149	200236.96	200500.774	200220.863	200854.124	633.261182	0	0	15551.7	0	0	3
29	14	0	0.615992615	200250.979	200475.643	200220.863	200740.94	520.077043	0	0	15489.1	0	0	3
30	14	0	0.63723374	200264.943	200455.81	200220.863	200738.016	517.152752	0	0	15449.4	0	0	3
31	15	0	0.658474864	200277.847	200436.636	200220.863	200689.46	468.59654	0	0	15404	0	0	3
32	15	0	0.679715989	200291.205	200420.042	200220.863	200689.118	468.254935	0	0	15363.7	0	0	3
33	16	0	0.700957114	200302.406	200403.929	200220.863	200666.773	445.909829	0	0	15308.4	0	0	3
34	16	0	0.722198238	200309.821	200389.056	200220.863	200656.076	435.212421	0	0	15266.4	0	0	3
35	16	0	0.743439363	200315.323	200374.858	200220.863	200647.091	426.227722	0	0	15209.8	0	0	3
36	17	0	0.764680488	200318.434	200361.164	200220.863	200641.34	420.477163	0	0	15175.1	0	0	3
37	17	0	0.785921612	200321.278	200347.828	200220.863	200633.441	412.577555	0	0	15126.7	0	0	3
38	18	0	0.807162737	200321.923	200334.848	200220.863	200624.882	404.018346	0	0	15088.5	0	0	3
39	18	0	0.828403862	200322.043	200322.23	200220.863	200583.374	362.510374	0	0	15036.6	0	0	3
40	19	0	0.849644986	200320.708	200311.286	200220.863	200539.075	318.211916	0	0	14997.1	0	0	3
41	19	0	0.870886111	200320.835	200302.192	200220.863	200491.249	270.385757	0	0	14959.2	0	0	3
42	20	0	0.892127235	200322.06	200295.143	200220.863	200436.939	216.075849	0	0	14928.1	0	0	3
43	20	0	0.91336836	200324.021	200290.438	200220.863	200385.397	164.533836	0	0	14891	0	0	3
44	20	0	0.934609485	200326.146	200287.969	200220.863	200328.492	107.628519	0	0	14861.5	0	0	3
45	21	0	0.955850609	200328.754	200287.98	200220.863	200328.754	107.890443	0	0	14832.2	0	0	3
46	21	0	0.977091734	200331.816	200290.083	200220.863	200331.816	110.953076	0	0	14811.6	0	0	3
47	22	0	0.998332859	200335.27	200293.605	200220.863	200335.27	114.407046	0	0	14788.9	0	0	3
48	22	0	1.01957398	200338.241	200298.017	200220.863	200338.241	117.377929	43.6911515	0	14772.8	0	0	3
