Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0212411247	4.01011228	4.01011228	4.01011228	4.01011228	0	0	0	4.01011	0	0	3
2	2	0	0.0424822493	4.02785494	4.01898361	4.01011228	4.02785494	0.0088713307	0	0	4.02785	0	0	3
3	2	0	0.063723374	3.9982047	4.01205731	3.9982047	4.02785494	0.0088713307	0	0	3.9982	0	0	3
4	3	0	0.0849644986	4.00412714	4.01007476	3.9982047	4.02785494	0.00890884466	0	0	4.00413	0	0	3
5	3	0	0.106205623	4.00625042	4.0093099	3.9982047	4.02785494	0.00967371337	0	0	4.00625	0	0	3
6	4	0	0.127446748	4.01036698	4.00948608	3.9982047	4.02785494	0.00967371337	0	0	4.01037	0	0	3
7	4	0	0.148687873	4.01153259	4.00977844	3.9982047	4.02785494	0.00967371337	0	0	4.01153	0	0	3
8	5	0	0.169928997	4.01945766	4.01098834	3.9982047	4.02785494	0.00967371337	0	0	4.01946	0	0	3
9	5	0	0.191170122	4.05499481	4.01587795	3.9982047	4.05499481	0.00967371337	0	0	4.05499	0	0	3
10	5	0	0.212411247	4.09286039	4.02357619	3.9982047	4.09286039	0.0142662966	0	0	4.09286	0	0	3
11	6	0	0.233652371	4.15148034	4.03520384	3.9982047	4.15148034	0.0258939463	0	0	4.15148	0	0	3
12	6	0	0.254893496	4.21047533	4.0498098	3.9982047	4.21047533	0.0404999034	0	0	4.21048	0	0	3
13	7	0	0.276134621	4.26874673	4.0666511	3.9982047	4.26874673	0.0573412061	0	0	4.26875	0	0	3
14	7	0	0.297375745	4.32295133	4.08495826	3.9982047	4.32295133	0.0756483653	0	0	4.32295	0	0	3
15	7	0	0.31861687	4.37131672	4.10404882	3.9982047	4.37131672	0.0947389292	0	0	4.37132	0	0	3
16	8	0	0.339857994	4.42805308	4.12429909	3.9982047	4.42805308	0.114989195	0	0	4.42805	0	0	3
17	8	0	0.361099119	4.47183331	4.14474228	3.9982047	4.47183331	0.135432384	0	0	4.47183	0	0	3
18	9	0	0.382340244	4.50587416	4.16480516	3.9982047	4.50587416	0.155495267	0	0	4.50587	0	0	3
19	9	0	0.403581368	4.53305819	4.1841869	3.9982047	4.53305819	0.174877005	0	0	4.53306	0	0	3
20	10	0	0.424822493	4.55528591	4.20274185	3.9982047	4.55528591	0.193431956	0	0	4.55529	0	0	3
21	10	0	0.446063618	4.58608055	4.22099607	3.9982047	4.58608055	0.211686179	0	0	4.58608	0	0	3
22	11	0	0.467304742	4.60839806	4.23860526	3.9982047	4.60839806	0.229295361	0	0	4.6084	0	0	3
23	11	0	0.488545867	4.62366971	4.25534719	3.9982047	4.62366971	0.246037294	0	0	4.62367	0	0	3
24	11	0	0.509786992	4.63333056	4.2710965	3.9982047	4.63333056	0.261786601	0	0	4.63333	0	0	3
25	12	0	0.531028116	4.63906194	4.29730273	3.9982047	4.63906194	0.287992837	0	0	4.63906	0	0	3
26	12	0	0.552269241	4.64271724	4.32292199	3.9982047	4.64271724	0.313612099	0	0	4.64272	0	0	3
27	13	0	0.573510366	4.64518313	4.34987943	4.00412714	4.64518313	0.340569534	0	0	4.64518	0	0	3
28	13	0	0.59475149	4.64557029	4.37660623	4.00625042	4.64557029	0.367296332	0	0	4.64557	0	0	3
29	14	0	0.615992615	4.64480025	4.40321247	4.01036698	4.64557029	0.393726393	0	0	4.6448	0	0	3
30	14	0	0.63723374	4.64379518	4.42960531	4.01153259	4.64557029	0.419826875	0	0	4.6438	0	0	3
31	15	0	0.658474864	4.64181424	4.45586705	4.01945766	4.64557029	0.444878707	0	0	4.64181	0	0	3
32	15	0	0.679715989	4.63930409	4.48169398	4.05499481	4.64557029	0.465816033	0	0	4.6393	0	0	3
33	16	0	0.700957114	4.63572005	4.50589087	4.09286039	4.64557029	0.482314674	0	0	4.63572	0	0	3
34	16	0	0.722198238	4.63053328	4.5282939	4.15148034	4.64557029	0.493090062	0	0	4.63053	0	0	3
35	16	0	0.743439363	4.62522109	4.5480331	4.21047533	4.64557029	0.435094965	0	0	4.62522	0	0	3
36	17	0	0.764680488	4.61783654	4.56500649	4.26874673	4.64557029	0.376823557	0	0	4.61784	0	0	3
37	17	0	0.785921612	4.61107257	4.57927006	4.32295133	4.64557029	0.322618962	0	0	4.61107	0	0	3
38	18	0	0.807162737	4.60393771	4.59097783	4.37131672	4.64557029	0.274253573	0	0	4.60394	0	0	3
39	18	0	0.828403862	4.59700019	4.60038131	4.42805308	4.64557029	0.217517215	0	0	4.597	0	0	3
40	19	0	0.849644986	4.58802702	4.60704689	4.47183331	4.64557029	0.173736983	0	0	4.58803	0	0	3
41	19	0	0.870886111	4.57863599	4.611497	4.50587416	4.64557029	0.139696127	0	0	4.57864	0	0	3
42	20	0	0.892127235	4.57183491	4.61424536	4.53305819	4.64557029	0.112512099	0	0	4.57183	0	0	3
43	20	0	0.91336836	4.56545899	4.6155954	4.55528591	4.64557029	0.0902843809	0	0	4.56546	0	0	3
44	20	0	0.934609485	4.55888858	4.61574551	4.55888858	4.64557029	0.086681712	0	0	4.55889	0	0	3
45	21	0	0.955850609	4.55312575	4.61437239	4.55312575	4.64557029	0.0924445411	0	0	4.55313	0	0	3
46	21	0	0.977091734	4.54781348	4.61184803	4.54781348	4.64557029	0.0977568112	0	0	4.54781	0	0	3
47	22	0	0.998332859	4.54328231	4.60849856	4.54328231	4.64557029	0.102287984	0	0	4.54328	0	0	3
48	22	0	1.01957398	4.53782596	4.6045192	4.53782596	4.64557029	0.107744333	0.0346237015	0	4.53783	0	0	3
