Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.0212411247	0
2	2	0	0.0424822493	0
3	2	0	0.063723374	0
4	3	0	0.0849644986	0
5	3	0	0.106205623	0
6	4	0	0.127446748	0
7	4	0	0.148687873	0
8	5	0	0.169928997	0
9	5	0	0.191170122	0
10	5	0	0.212411247	0
11	6	0	0.233652371	0
12	6	0	0.254893496	0
13	7	0	0.276134621	0
14	7	0	0.297375745	0
15	7	0	0.31861687	0
16	8	0	0.339857994	0
17	8	0	0.361099119	0
18	9	0	0.382340244	0
19	9	0	0.403581368	0
20	10	0	0.424822493	0
21	10	0	0.446063618	0
22	11	0	0.467304742	0
23	11	0	0.488545867	0
24	11	0	0.509786992	0
25	12	0	0.531028116	0
26	12	0	0.552269241	0
27	13	0	0.573510366	0
28	13	0	0.59475149	0
29	14	0	0.615992615	0
30	14	0	0.63723374	0
31	15	0	0.658474864	0
32	15	0	0.679715989	0
33	16	0	0.700957114	0
34	16	0	0.722198238	0
35	16	0	0.743439363	0
36	17	0	0.764680488	0
37	17	0	0.785921612	0
38	18	0	0.807162737	0
39	18	0	0.828403862	0
40	19	0	0.849644986	0
41	19	0	0.870886111	0
42	20	0	0.892127235	0
43	20	0	0.91336836	0
44	20	0	0.934609485	0
45	21	0	0.955850609	0
46	21	0	0.977091734	0
47	22	0	0.998332859	0
48	22	0	1.01957398	0
